,p1,p2,p3,p4
337,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-986'],"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-578.fq.barcodeStripped']
119,['OAK-MOR-1144'],['OAK-MOR-986'],"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-982']
209,['OAK-MOR-1144'],['OAK-MOR-986'],"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
117,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-986'],"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-982']
27,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-986'],"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
99,['OAK-MOR-1144'],['OAK-MOR-986'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-982']
387,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-986'],"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-981']
347,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-986'],['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
129,['OAK-MOR-1144'],['OAK-MOR-986'],['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-982']
339,['OAK-MOR-1144'],['OAK-MOR-986'],"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-578.fq.barcodeStripped']
